id,cotizacionId,servicioId,servicioCategoriaId,cantidad,posicion,createdAt,updatedAt
cm3s111ud001nwuf6fyys1mvp,cm44vf4tm0001lxexr2pyvxsb,cm3s111ud001nwuf6fyys1mvp,cm3p05s6k0008nk9spkpqzxbq,6,1,1733272943203,1733272943203
cm3s18c9s0025wuf6gntupn8v,cm44vf4tm0001lxexr2pyvxsb,cm3s18c9s0025wuf6gntupn8v,cm3p06vln000bnk9s6xdfltab,1,1,1733272943206,1733272943206
cm3s23k6l002fwuf6w9360azj,cm44vf4tm0001lxexr2pyvxsb,cm3s23k6l002fwuf6w9360azj,cm3p06vln000bnk9s6xdfltab,1,2,1733272943208,1733272943208
cm3rzi1vc000rwuf692k524bi,cm44vf4tm0001lxexr2pyvxsb,cm3rzi1vc000rwuf692k524bi,cm3p05s6k0008nk9spkpqzxbq,1,3,1733272943210,1733272943210
cm3s147to001zwuf62izcazz8,cm44vf4tm0001lxexr2pyvxsb,cm3s147to001zwuf62izcazz8,cm3p05s6k0008nk9spkpqzxbq,1,6,1733272943213,1733272943213
cm3s02uh9000xwuf6gfwkem3n,cm44vf4tm0001lxexr2pyvxsb,cm3s02uh9000xwuf6gfwkem3n,cm3p04vhy0007nk9sco2nqv89,6,2,1733272943215,1733272943215
cm3s151cu0021wuf6jwjf7q5t,cm44vf4tm0001lxexr2pyvxsb,cm3s151cu0021wuf6jwjf7q5t,cm3p05s6k0008nk9spkpqzxbq,1,7,1733272943217,1733272943217
cm3s18wz50027wuf60yhstmhq,cm44vf4tm0001lxexr2pyvxsb,cm3s18wz50027wuf60yhstmhq,cm3p06vln000bnk9s6xdfltab,1,4,1733272943220,1733272943220
cm3s24qpy002hwuf6o1w0zj2a,cm44vf4tm0001lxexr2pyvxsb,cm3s24qpy002hwuf6o1w0zj2a,cm3p06vln000bnk9s6xdfltab,1,3,1733272943227,1733272943227
cm3s0a1eg0019wuf6fkbym13q,cm44vf4tm0001lxexr2pyvxsb,cm3s0a1eg0019wuf6fkbym13q,cm3p04vhy0007nk9sco2nqv89,1,7,1733272943229,1733272943229
cm3rxdfqo000bwuf68032sket,cm44vf4tm0001lxexr2pyvxsb,cm3rxdfqo000bwuf68032sket,cm3p04vhy0007nk9sco2nqv89,6,1,1733272943231,1733272943231
cm3rx8dw80005wuf670siax9d,cm44vf4tm0001lxexr2pyvxsb,cm3rx8dw80005wuf670siax9d,cm3p0bqus000dnk9s7cggt1yt,1,2,1733272943233,1733272943233
