id,paqueteId,servicioId,servicioCategoriaId,cantidad,posicion,visible_cliente,status,createdAt,updatedAt
cm3xgy0ns010614nfuj87f0jf,cm3xgvy1g00z914nf1038l1qs,cm3s02uh9000xwuf6gfwkem3n,cm3p04vhy0007nk9sco2nqv89,5,2,1,active,1732565801945,1732565801945
cm3xgy0nt010914nfp49jimpv,cm3xgvy1g00z914nf1038l1qs,cm3s0a1eg0019wuf6fkbym13q,cm3p04vhy0007nk9sco2nqv89,1,7,1,active,1732565801945,1732565801945
cm3xgy0nu010d14nfv2ghsg91,cm3xgvy1g00z914nf1038l1qs,cm3s178ws0023wuf6wy8256qo,cm3p05s6k0008nk9spkpqzxbq,1,5,1,active,1732565801946,1732565801946
cm3xgy0nt010b14nf2zk057c8,cm3xgvy1g00z914nf1038l1qs,cm3s111ud001nwuf6fyys1mvp,cm3p05s6k0008nk9spkpqzxbq,5,1,1,active,1732565801945,1732565801945
cm3xgy0ns010714nfefy10l6x,cm3xgvy1g00z914nf1038l1qs,cm3rxdfqo000bwuf68032sket,cm3p04vhy0007nk9sco2nqv89,5,1,1,active,1732565801945,1732565801945
cm3xhiip3012i14nft8u7kt0q,cm3xhea0o010o14nfm0v8w9zv,cm3rui931000bnlfxmwmrsa03,cm3p0407x0004nk9sl32143wb,1,1,1,active,1732566758439,1732566758439
cm3xhiip5012o14nfvnjps5zj,cm3xhea0o010o14nfm0v8w9zv,cm3s18c9s0025wuf6gntupn8v,cm3p06vln000bnk9s6xdfltab,1,1,1,active,1732566758442,1732566758442
cm3xhiip9012s14nfozljpt2z,cm3xhea0o010o14nfm0v8w9zv,cm3rzi1vc000rwuf692k524bi,cm3p05s6k0008nk9spkpqzxbq,1,3,1,active,1732566758446,1732566758446
cm3xhiipb012u14nf4w0oyvle,cm3xhea0o010o14nfm0v8w9zv,cm3ruml7w000dnlfxczb5wb1h,cm3p0452q0005nk9slxs3ereu,1,2,1,active,1732566758448,1732566758448
cm3xhiipd012w14nfryot0id5,cm3xhea0o010o14nfm0v8w9zv,cm3s24qpy002hwuf6o1w0zj2a,cm3p06vln000bnk9s6xdfltab,1,3,1,active,1732566758449,1732566758449
cm3xhiipf012y14nfjat8mba5,cm3xhea0o010o14nfm0v8w9zv,cm3rux19l000lnlfxwhklvs5v,cm3p04lcz0006nk9swv8k2z0u,1,2,1,active,1732566758451,1732566758451
cm3xhiipg013014nf1eh8lhd4,cm3xhea0o010o14nfm0v8w9zv,cm3s28ja4002lwuf6mhbkyr5d,cm3p03mwx0003nk9ssu3ae7rq,1,4,1,active,1732566758453,1732566758453
cm3xhiipi013214nfopepskxq,cm3xhea0o010o14nfm0v8w9zv,cm3rx8dw80005wuf670siax9d,cm3p0bqus000dnk9s7cggt1yt,1,2,1,active,1732566758454,1732566758454
cm3xhiipk013414nf32ks9gc8,cm3xhea0o010o14nfm0v8w9zv,cm3s031mw0011wuf6fep7bxsc,cm3p04vhy0007nk9sco2nqv89,7,4,1,active,1732566758456,1732566758456
cm3xhiipl013614nfjkt41qph,cm3xhea0o010o14nfm0v8w9zv,cm3s02uh9000xwuf6gfwkem3n,cm3p04vhy0007nk9sco2nqv89,7,2,1,active,1732566758457,1732566758457
cm3xhiipn013814nf1tkzsfph,cm3xhea0o010o14nfm0v8w9zv,cm3s134cu001vwuf66pveiszi,cm3p05s6k0008nk9spkpqzxbq,1,4,1,active,1732566758459,1732566758459
cm3xhiipo013a14nfzh9j0918,cm3xhea0o010o14nfm0v8w9zv,cm3s18wz50027wuf60yhstmhq,cm3p06vln000bnk9s6xdfltab,1,4,1,active,1732566758461,1732566758461
cm3xhiip5012m14nfpardj7ft,cm3xhea0o010o14nfm0v8w9zv,cm3s111ud001nwuf6fyys1mvp,cm3p05s6k0008nk9spkpqzxbq,7,1,1,active,1732566758441,1732566758441
cm3xhiip6012q14nfp3ajgluq,cm3xhea0o010o14nfm0v8w9zv,cm3s0gzjg001fwuf6mn6ik00h,cm3p068ht0009nk9s280trn2b,1,2,1,active,1732566758442,1732566758442
cm3xhiips013g14nfkjrswm91,cm3xhea0o010o14nfm0v8w9zv,cm3rueztl0009nlfxo9zfpiap,cm3p03mwx0003nk9ssu3ae7rq,12,7,1,active,1732566758465,1732566758465
cm3xhiipu013i14nfv42l2u79,cm3xhea0o010o14nfm0v8w9zv,cm3s118my001rwuf6hu5jif8t,cm3p05s6k0008nk9spkpqzxbq,7,2,1,active,1732566758466,1732566758466
cm3xhiipv013k14nfoma47k1f,cm3xhea0o010o14nfm0v8w9zv,cm3s0a1eg0019wuf6fkbym13q,cm3p04vhy0007nk9sco2nqv89,1,7,1,active,1732566758468,1732566758468
cm3xhiipx013m14nfuzi5h88j,cm3xhea0o010o14nfm0v8w9zv,cm3s23k6l002fwuf6w9360azj,cm3p06vln000bnk9s6xdfltab,1,2,1,active,1732566758470,1732566758470
cm3xhiipz013o14nfrcju3p3z,cm3xhea0o010o14nfm0v8w9zv,cm3s151cu0021wuf6jwjf7q5t,cm3p05s6k0008nk9spkpqzxbq,1,7,1,active,1732566758471,1732566758471
cm3xhiiq1013q14nf46c73rrv,cm3xhea0o010o14nfm0v8w9zv,cm3rx4r110001wuf6gv5mtiaq,cm3p04lcz0006nk9swv8k2z0u,1,3,1,active,1732566758473,1732566758473
cm3xhiip4012k14nf54s29atz,cm3xhea0o010o14nfm0v8w9zv,cm3ruy60m000pnlfx331t8iqi,cm3p0452q0005nk9slxs3ereu,1,1,1,active,1732566758440,1732566758440
cm3xhiiq6013u14nf3znt33ud,cm3xhea0o010o14nfm0v8w9zv,cm3ruqfcd000hnlfx7j3v8gfq,cm3p04lcz0006nk9swv8k2z0u,1,1,1,active,1732566758478,1732566758478
cm3xhiiq8013w14nf607xe51n,cm3xhea0o010o14nfm0v8w9zv,cm3rx6sn00003wuf6kt6019hn,cm3p0bqus000dnk9s7cggt1yt,1,1,1,active,1732566758480,1732566758480
cm3xhiiq9013y14nfsr5mixrs,cm3xhea0o010o14nfm0v8w9zv,cm3rxdfqo000bwuf68032sket,cm3p04vhy0007nk9sco2nqv89,7,1,1,active,1732566758482,1732566758482
cm3xhiiqb014014nf7dt76a6b,cm3xhea0o010o14nfm0v8w9zv,cm3s0g2y0001dwuf6796tbpao,cm3p068ht0009nk9s280trn2b,1,1,1,active,1732566758484,1732566758484
cm3xhiiqd014214nfl3vom5xg,cm3xhea0o010o14nfm0v8w9zv,cm3rubnce0003nlfxy17wcxsd,cm3p03mwx0003nk9ssu3ae7rq,1,5,1,active,1732566758486,1732566758486
cm3xhiiqf014414nf552m2af6,cm3xhea0o010o14nfm0v8w9zv,cm3rzgk8v000jwuf6l5h826vk,cm3p04vhy0007nk9sco2nqv89,7,3,1,active,1732566758488,1732566758488
